,client_id,Variation,Control,Test
447,2735635,Test,False,True
448,5567038,Test,False,True
449,4239711,Control,True,False
450,9635244,Control,True,False
451,2798211,Test,False,True
452,2915635,Test,False,True
453,947738,Test,False,True
454,3444839,Test,False,True
455,9797297,Control,True,False
456,5176958,Control,True,False
457,759780,Test,False,True
458,4985317,Test,False,True
459,3910595,Test,False,True
460,6688350,Test,False,True
461,6405208,Test,False,True
462,2986194,Test,False,True
463,1651697,Control,True,False
464,6503101,Test,False,True
465,9103724,Control,True,False
466,2561883,Test,False,True
467,7873226,Control,True,False
468,9922958,Test,False,True
469,323950,Control,True,False
470,932489,Test,False,True
471,6781849,Control,True,False
472,467861,Test,False,True
473,7430424,Control,True,False
474,7458004,Control,True,False
475,8753284,Test,False,True
476,9052277,Test,False,True
477,1428836,Test,False,True
478,2480352,Test,False,True
479,5896556,Control,True,False
480,3716868,Test,False,True
481,993682,Control,True,False
482,4036374,Control,True,False
483,1330036,Test,False,True
484,6325731,Test,False,True
485,8750191,Control,True,False
486,1720728,Test,False,True
487,9004679,Control,True,False
488,4342700,Control,True,False
489,8723963,Test,False,True
490,2458751,Test,False,True
491,5203477,Test,False,True
492,6405391,Test,False,True
493,2374507,Test,False,True
494,3011265,Control,True,False
495,3029315,Test,False,True
496,9164248,Test,False,True
497,6450029,Control,True,False
498,7045324,Test,False,True
499,3582059,Test,False,True
500,6773537,Test,False,True
501,1314809,Control,True,False
502,2615801,Test,False,True
503,7375067,Control,True,False
504,7159966,Test,False,True
505,4575187,Test,False,True
506,667534,Test,False,True
507,8604038,Control,True,False
508,2617114,Control,True,False
509,3436975,Control,True,False
510,119599,Test,False,True
511,7574730,Test,False,True
512,3362712,Control,True,False
513,42296,Control,True,False
514,3695514,Control,True,False
515,1192384,Control,True,False
516,4590361,Control,True,False
517,5543024,Test,False,True
518,7546085,Test,False,True
519,3072060,Test,False,True
520,1928906,Control,True,False
521,512833,Control,True,False
522,9089805,Control,True,False
523,5397802,Test,False,True
524,2888193,Control,True,False
525,4778460,Control,True,False
526,6199584,Test,False,True
527,7192558,Test,False,True
528,9102754,Test,False,True
529,3576255,Test,False,True
530,6346672,Control,True,False
531,1274510,Test,False,True
532,8283444,Control,True,False
533,3519145,Test,False,True
534,4390568,Control,True,False
535,5694063,Test,False,True
536,3602152,Test,False,True
537,4065760,Test,False,True
538,69568,Test,False,True
539,2420923,Test,False,True
540,5848027,Control,True,False
541,6522942,Test,False,True
542,1272344,Test,False,True
543,8957739,Test,False,True
544,8337830,Control,True,False
545,572617,Test,False,True
546,7744581,Test,False,True
547,3045158,Control,True,False
548,6747525,Control,True,False
549,7258442,Control,True,False
550,7746715,Test,False,True
551,1486118,Control,True,False
552,3563844,Test,False,True
553,9493365,Test,False,True
554,985881,Test,False,True
555,9792423,Test,False,True
556,7037852,Control,True,False
557,6767637,Control,True,False
558,8735726,Control,True,False
559,5914359,Test,False,True
560,1983898,Control,True,False
561,8930597,Control,True,False
562,1892008,Control,True,False
563,9889913,Test,False,True
564,1468125,Control,True,False
565,3025507,Control,True,False
566,529710,Test,False,True
567,9842475,Control,True,False
568,4343885,Control,True,False
569,4876132,Test,False,True
570,7829568,Test,False,True
571,8472274,Test,False,True
572,7475482,Control,True,False
573,6371350,Test,False,True
574,838584,Test,False,True
575,8526665,Control,True,False
576,9865882,Control,True,False
577,4717090,Control,True,False
578,1289178,Test,False,True
579,3412472,Control,True,False
580,6766816,Test,False,True
581,6774011,Test,False,True
582,3649806,Test,False,True
583,1034218,Test,False,True
584,4448805,Control,True,False
585,3766837,Test,False,True
586,9231655,Control,True,False
587,6296222,Test,False,True
588,2200779,Test,False,True
589,5027124,Control,True,False
590,1432979,Control,True,False
591,3999559,Test,False,True
592,3671491,Control,True,False
593,3179230,Test,False,True
594,9748979,Control,True,False
595,3590487,Test,False,True
596,8874319,Test,False,True
597,8691226,Test,False,True
598,9513138,Control,True,False
599,7884558,Test,False,True
600,1090478,Test,False,True
601,1304240,Test,False,True
602,2681612,Control,True,False
603,851930,Control,True,False
604,1344982,Test,False,True
605,5171271,Test,False,True
606,6602680,Test,False,True
607,2447231,Test,False,True
608,5631396,Test,False,True
609,6833110,Control,True,False
610,4960901,Control,True,False
611,2189750,Test,False,True
612,9455754,Test,False,True
613,209511,Control,True,False
614,741785,Control,True,False
615,2855888,Control,True,False
616,9083686,Control,True,False
617,2645953,Control,True,False
618,903457,Control,True,False
619,3039540,Test,False,True
620,4730612,Test,False,True
621,2763314,Control,True,False
622,3453411,Test,False,True
623,5212054,Control,True,False
624,1344819,Control,True,False
625,8681644,Control,True,False
626,8125499,Test,False,True
627,7271587,Test,False,True
628,964596,Test,False,True
629,2675819,Control,True,False
630,8852099,Control,True,False
631,7465287,Test,False,True
632,8132181,Test,False,True
633,5759626,Test,False,True
634,2900782,Control,True,False
635,2963107,Control,True,False
636,8862044,Control,True,False
637,7433366,Control,True,False
638,133487,Control,True,False
639,7470213,Test,False,True
640,6809622,Test,False,True
641,1616582,Test,False,True
642,9159465,Test,False,True
643,494597,Test,False,True
644,4503552,Control,True,False
645,3089722,Control,True,False
646,9641810,Control,True,False
647,985046,Test,False,True
648,192160,Test,False,True
649,6233261,Test,False,True
650,6332820,Control,True,False
651,2623927,Control,True,False
652,8839288,Test,False,True
653,495241,Test,False,True
654,5195063,Test,False,True
655,7878552,Control,True,False
656,2312741,Test,False,True
657,7633966,Control,True,False
658,6717348,Test,False,True
659,3502824,Control,True,False
660,614865,Test,False,True
661,7702732,Test,False,True
662,1711408,Test,False,True
663,1399670,Control,True,False
664,157106,Test,False,True
665,1696504,Control,True,False
666,4243376,Test,False,True
667,2606054,Test,False,True
668,4369578,Test,False,True
669,7597104,Control,True,False
670,9221129,Test,False,True
671,8225520,Test,False,True
672,595691,Test,False,True
673,6464033,Test,False,True
674,4211505,Control,True,False
675,9335333,Test,False,True
676,1192407,Test,False,True
677,9824178,Test,False,True
678,1087333,Test,False,True
679,3982600,Control,True,False
680,1290643,Test,False,True
681,728102,Test,False,True
682,763504,Test,False,True
683,629229,Test,False,True
684,2892822,Test,False,True
685,219038,Test,False,True
686,3387907,Control,True,False
687,951327,Test,False,True
688,4857096,Control,True,False
689,7258987,Test,False,True
690,5240348,Control,True,False
691,9219098,Control,True,False
692,6521093,Control,True,False
693,3421393,Control,True,False
694,2025761,Control,True,False
695,3119062,Test,False,True
696,6740819,Control,True,False
697,6053599,Control,True,False
698,7606536,Control,True,False
699,3206726,Control,True,False
700,2128160,Control,True,False
701,2019649,Test,False,True
702,1194245,Control,True,False
703,2681771,Test,False,True
704,8295735,Control,True,False
705,312984,Control,True,False
706,2839247,Control,True,False
707,9661060,Test,False,True
708,5732744,Control,True,False
709,3973582,Test,False,True
710,4620465,Test,False,True
711,6115514,Test,False,True
712,6479455,Test,False,True
713,5363445,Control,True,False
714,6981798,Control,True,False
715,8031718,Control,True,False
716,1262291,Control,True,False
717,8770403,Control,True,False
718,1348442,Control,True,False
719,566137,Test,False,True
720,3861702,Control,True,False
721,4693102,Control,True,False
722,5398009,Test,False,True
723,5015824,Test,False,True
724,9542428,Control,True,False
725,8348798,Test,False,True
726,4608580,Control,True,False
727,2263719,Control,True,False
728,2612667,Test,False,True
729,1213524,Test,False,True
730,1344421,Test,False,True
731,8555070,Control,True,False
732,2787512,Control,True,False
733,9534176,Control,True,False
734,2588637,Test,False,True
735,2615052,Test,False,True
736,965179,Test,False,True
737,273469,Test,False,True
738,6651108,Test,False,True
739,7460349,Control,True,False
740,3197853,Test,False,True
741,844271,Test,False,True
742,8774888,Test,False,True
743,6382757,Test,False,True
744,8501430,Control,True,False
745,6724494,Test,False,True
746,7804581,Control,True,False
747,8095423,Control,True,False
748,8264879,Test,False,True
749,6374406,Control,True,False
750,2717233,Test,False,True
751,9837096,Control,True,False
752,4281763,Test,False,True
753,9112089,Control,True,False
754,7887156,Control,True,False
755,743037,Control,True,False
756,3825646,Control,True,False
757,6948287,Test,False,True
758,3060095,Test,False,True
759,9696533,Control,True,False
760,4701896,Test,False,True
761,4743022,Control,True,False
762,2491891,Test,False,True
763,589393,Test,False,True
764,6033805,Control,True,False
765,7690775,Control,True,False
766,466526,Control,True,False
767,8305562,Test,False,True
768,3319690,Test,False,True
769,5253835,Test,False,True
770,5688104,Control,True,False
771,9589889,Test,False,True
772,9513516,Test,False,True
773,1410997,Control,True,False
774,6682361,Test,False,True
775,390650,Test,False,True
776,9914877,Test,False,True
777,1908164,Test,False,True
778,1428184,Test,False,True
779,6662941,Control,True,False
780,625038,Control,True,False
781,8127978,Test,False,True
782,4497644,Test,False,True
783,2928968,Test,False,True
784,2459641,Test,False,True
785,2502567,Control,True,False
786,6809452,Test,False,True
787,2570257,Control,True,False
788,1900836,Test,False,True
789,9887206,Test,False,True
790,8117339,Control,True,False
791,9292612,Control,True,False
792,4589317,Test,False,True
793,9600289,Test,False,True
794,8644587,Test,False,True
795,3515019,Test,False,True
796,1399011,Test,False,True
797,3859509,Test,False,True
798,9624621,Control,True,False
799,1411452,Test,False,True
800,9451729,Test,False,True
801,7158922,Test,False,True
802,2824464,Test,False,True
803,7355987,Test,False,True
804,4290599,Test,False,True
805,195455,Test,False,True
806,5941398,Test,False,True
807,4855745,Test,False,True
808,5670374,Control,True,False
809,4889645,Test,False,True
810,7393980,Test,False,True
811,5754741,Test,False,True
812,955190,Test,False,True
813,5520127,Control,True,False
814,8360249,Control,True,False
815,4825054,Control,True,False
816,431615,Test,False,True
817,6405406,Test,False,True
818,5619517,Control,True,False
819,4452301,Test,False,True
820,9762839,Test,False,True
821,2044540,Control,True,False
822,5080437,Test,False,True
823,8213521,Control,True,False
824,9937888,Test,False,True
825,9786441,Test,False,True
826,5593356,Control,True,False
827,6217407,Test,False,True
828,4883446,Test,False,True
829,8655162,Test,False,True
830,1622925,Test,False,True
831,5867862,Test,False,True
832,7916237,Test,False,True
833,2080737,Test,False,True
834,3350408,Test,False,True
835,1011972,Control,True,False
836,520210,Test,False,True
837,6559023,Control,True,False
838,1835426,Test,False,True
839,1859491,Test,False,True
840,8158588,Test,False,True
841,1787233,Test,False,True
842,1255014,Control,True,False
843,3314416,Control,True,False
844,8121690,Test,False,True
845,8219792,Control,True,False
846,3252556,Test,False,True
847,4577049,Control,True,False
848,9795698,Test,False,True
849,4202537,Control,True,False
850,8792675,Control,True,False
851,1113976,Test,False,True
852,6605778,Test,False,True
853,3030274,Control,True,False
854,5166590,Test,False,True
855,5395303,Control,True,False
856,122493,Control,True,False
857,8607353,Test,False,True
858,9309880,Test,False,True
859,6219485,Test,False,True
860,6779709,Test,False,True
861,1181698,Control,True,False
862,8627900,Test,False,True
863,9265934,Control,True,False
864,9441056,Control,True,False
865,9017041,Control,True,False
866,2815061,Control,True,False
867,6330488,Test,False,True
868,8550901,Control,True,False
869,6586655,Control,True,False
870,435580,Control,True,False
871,6461191,Control,True,False
872,5551581,Test,False,True
873,9983987,Test,False,True
874,8006148,Test,False,True
875,6670730,Control,True,False
876,6692080,Test,False,True
877,3861021,Control,True,False
878,4332065,Test,False,True
879,5802843,Test,False,True
880,4052287,Control,True,False
881,8375573,Test,False,True
882,8512863,Control,True,False
883,9749944,Control,True,False
884,9615900,Test,False,True
885,7274800,Test,False,True
886,5819620,Control,True,False
887,1790923,Control,True,False
888,6097361,Control,True,False
889,8314579,Test,False,True
890,9286966,Test,False,True
891,8961589,Test,False,True
892,7105238,Control,True,False
893,3071281,Test,False,True
894,981261,Control,True,False
895,987879,Test,False,True
896,9652308,Test,False,True
897,3976933,Control,True,False
898,8544465,Test,False,True
899,8645809,Test,False,True
900,7278903,Test,False,True
901,9455359,Test,False,True
902,8627399,Control,True,False
903,162867,Test,False,True
904,1033888,Control,True,False
905,7512282,Control,True,False
906,3875133,Test,False,True
907,5296568,Test,False,True
908,5569364,Control,True,False
909,483740,Test,False,True
910,6958432,Test,False,True
911,4533589,Test,False,True
912,7977593,Control,True,False
913,8470878,Control,True,False
914,2460950,Test,False,True
915,5028215,Test,False,True
916,7030145,Test,False,True
917,7303592,Control,True,False
918,2465426,Control,True,False
919,9007970,Test,False,True
920,1333964,Test,False,True
921,4129281,Test,False,True
922,4635518,Control,True,False
923,8605014,Control,True,False
924,9382137,Control,True,False
925,5328442,Control,True,False
926,7932118,Test,False,True
927,3028950,Test,False,True
928,6148802,Test,False,True
929,5955812,Test,False,True
930,2923234,Test,False,True
931,2528424,Test,False,True
932,3722490,Test,False,True
933,9296214,Test,False,True
934,2529822,Test,False,True
935,3337387,Test,False,True
936,4870929,Test,False,True
937,2619480,Control,True,False
938,7421893,Control,True,False
939,3725888,Test,False,True
940,9406425,Test,False,True
941,2529383,Test,False,True
942,6724871,Test,False,True
943,9322129,Test,False,True
944,9202764,Control,True,False
945,5209141,Test,False,True
946,2113818,Test,False,True
947,9764115,Test,False,True
948,1296904,Control,True,False
949,4719244,Test,False,True
950,6372831,Control,True,False
951,4313319,Control,True,False
952,542563,Control,True,False
953,9076766,Control,True,False
954,6410961,Control,True,False
955,3050600,Control,True,False
956,8945602,Control,True,False
957,1111442,Test,False,True
958,1061161,Control,True,False
959,6580601,Control,True,False
960,2671815,Control,True,False
961,8794099,Control,True,False
962,56570,Test,False,True
963,1647261,Control,True,False
964,3579822,Control,True,False
965,9461504,Test,False,True
966,4728463,Test,False,True
967,7377294,Test,False,True
968,7931364,Test,False,True
969,8156741,Control,True,False
970,5033489,Control,True,False
971,2983878,Control,True,False
972,3461541,Control,True,False
973,6434694,Control,True,False
974,6751236,Test,False,True
975,7429878,Test,False,True
976,5171763,Control,True,False
977,8012228,Test,False,True
978,7825081,Test,False,True
979,6046772,Test,False,True
980,8580049,Test,False,True
981,2067509,Test,False,True
982,3944371,Control,True,False
983,8987034,Test,False,True
984,5836504,Test,False,True
985,9111035,Test,False,True
986,2685663,Test,False,True
987,2722950,Control,True,False
988,7218675,Control,True,False
989,3009581,Control,True,False
990,8091872,Control,True,False
991,1755496,Test,False,True
992,9128400,Test,False,True
993,3334970,Test,False,True
994,559468,Test,False,True
995,1925220,Control,True,False
996,4979031,Test,False,True
997,9910098,Control,True,False
998,983122,Control,True,False
999,8249646,Control,True,False
1000,8950069,Test,False,True
1001,9058579,Control,True,False
1002,9039182,Test,False,True
1003,3010914,Control,True,False
1004,7021345,Control,True,False
1005,963874,Test,False,True
1006,1546314,Control,True,False
1007,7767849,Test,False,True
1008,7068149,Control,True,False
1009,8118036,Test,False,True
1010,9726680,Test,False,True
1011,4519160,Control,True,False
1012,6773284,Test,False,True
1013,7429772,Control,True,False
1014,2368143,Test,False,True
1015,6308576,Test,False,True
1016,3956597,Control,True,False
1017,3052488,Control,True,False
1018,8758402,Control,True,False
1019,9664272,Control,True,False
1020,6905463,Control,True,False
1021,1144410,Control,True,False
1022,2548388,Test,False,True
1023,9932367,Control,True,False
1024,3149254,Test,False,True
1025,2493468,Test,False,True
1026,7887617,Test,False,True
1027,3317334,Control,True,False
1028,5512354,Control,True,False
1029,7889092,Control,True,False
1030,5267696,Test,False,True
1031,7060702,Control,True,False
1032,8569065,Control,True,False
1033,2006775,Test,False,True
1034,6030486,Control,True,False
1035,6280351,Control,True,False
1036,2108691,Control,True,False
1037,2599976,Control,True,False
1038,2853115,Control,True,False
1039,4554752,Control,True,False
1040,8968789,Control,True,False
1041,1212721,Test,False,True
1042,3322967,Test,False,True
1043,6486309,Test,False,True
1044,5436729,Test,False,True
1045,3074366,Test,False,True
1046,3291778,Control,True,False
1047,7059333,Control,True,False
1048,5188022,Control,True,False
1049,6884073,Control,True,False
1050,5206988,Test,False,True
1051,3366060,Test,False,True
1052,7342579,Test,False,True
1053,1465396,Test,False,True
1054,4780398,Control,True,False
1055,2152873,Control,True,False
1056,9129878,Control,True,False
1057,4023943,Control,True,False
1058,521003,Control,True,False
1059,2021664,Test,False,True
1060,2601570,Test,False,True
1061,6066143,Test,False,True
1062,464620,Control,True,False
1063,3700898,Test,False,True
1064,1596808,Control,True,False
1065,6578023,Control,True,False
1066,1455127,Test,False,True
1067,9595233,Control,True,False
1068,8560542,Test,False,True
1069,2616663,Test,False,True
1070,6793640,Control,True,False
1071,3097635,Test,False,True
1072,409450,Control,True,False
1073,7505821,Test,False,True
1074,2802293,Control,True,False
1075,7928244,Test,False,True
1076,6094349,Test,False,True
